date,action,ticker,price,note,analyst
2021-11-23,BUY,VYGVF,15.45,,Knox Ridley
2021-11-23,SELL,AMD,149.72,,Knox Ridley
2021-11-23,SELL,NVDA,318.16,,Knox Ridley
2021-11-22,SELL,VUZI,12.03,,Knox Ridley
2021-11-19,BUY,AFRM,136.74,,Knox Ridley
2021-11-17,BUY,DDOG,191.47,,Knox Ridley
2022-11-15,BUY,SHOP,1676.5,,Knox Ridley
2022-11-12,BUY,VUZI,14.54,,Knox Ridley
2022-11-10,BUY,ROKU,276.7,,Knox Ridley
2022-11-10,SELL,MARA,75.26,,Knox Ridley
2022-11-08,SELL,AFRM,167.49,,Knox Ridley
2022-11-08,SELL,TSLA,1190.81,,Knox Ridley
2022-11-08,SELL,RIOT,34.53,,Knox Ridley
2022-11-05,BUY,XPEV,46.06,,Knox Ridley
2022-11-04,SELL,AEHR,26.1,,Knox Ridley
2022-11-03,SELL,ZI,69.25,,Knox Ridley
2022-11-02,BUY,MARA,62.08,,Knox Ridley
2022-11-01,BUY,PLTR,26.24,,Knox Ridley
2022-10-28,BUY,VYGVF,13.87,,Knox Ridley
2022-10-27,BUY,MARA,49.93,,Knox Ridley
2022-10-27,SELL,KC,25.34,,Knox Ridley
2022-10-26,SELL,CFLT,65.76,,Knox Ridley
2022-10-26,BUY,CFLT,65.76,,Knox Ridley
2022-10-24,BUY,LINKUSD,29.58,,Knox Ridley
2022-10-24,BUY,BTCUSD,60890.1,,Knox Ridley
2022-10-24,BUY,ETHUSD,4074.0,,Knox Ridley
2022-10-23,BUY,LINKUSD,31.21,,Knox Ridley
2022-10-22,BUY,BTCUSD,60821.0,,Knox Ridley
2022-10-22,BUY,TSLA,907.35,,Knox Ridley
2022-10-20,SELL,VYGVF,10.34,,Knox Ridley
2022-10-20,BUY,AFRM,149.83,,Knox Ridley
2022-10-15,BUY,BTCUSD,61287.0,,Knox Ridley
2022-10-14,SELL,MDB,500.02,,Knox Ridley
2022-10-13,BUY,DDOG,154.39,,Knox Ridley
2022-10-08,BUY,AEHR,19.08,,Knox Ridley
2022-10-04,BUY,SE,314.01,,Knox Ridley
2022-10-04,BUY,ZM,254.35,,Knox Ridley
2022-10-04,BUY,NVDA,199.4,,Knox Ridley
2022-10-04,BUY,MDB,446.49,,Knox Ridley
2022-10-01,BUY,NVDA,206.64,,Knox Ridley
2022-10-01,BUY,ROKU,309.3,,Knox Ridley
2022-09-30,BUY,CFLT,59.7,,Knox Ridley
2022-09-30,BUY,NVDA,208.91,,Knox Ridley
2022-09-24,SELL,ARKG,80.76,,Knox Ridley
2022-09-24,BUY,AEHR,13.71,,Knox Ridley
2022-09-23,BUY,CFLT,71.25,,Knox Ridley
2022-09-22,BUY,ETHUSD,2833.34,,Knox Ridley
2022-09-22,BUY,LINKUSD,22.1,,Knox Ridley
2022-09-20,BUY,ESTC,158.95,,Knox Ridley
2022-09-20,BUY,MDB,496.5,,Knox Ridley
2022-09-20,BUY,SE,328.06,,Knox Ridley
2022-09-17,SELL,VUZI,11.87,,Knox Ridley
2022-09-16,BUY,LRCX,614.56,,Knox Ridley
2022-09-16,BUY,SE,339.71,,Knox Ridley
2022-09-16,BUY,AMD,104.67,,Knox Ridley
